type,dust,wr,games,duration,card_0,card_1,card_2,card_3,card_4,card_5,card_6,card_7,card_8,card_9,card_10,card_11,card_12,card_13,card_14,card_15,card_16,card_17,card_18,card_19,card_20,card_21,card_22,card_23,card_24,card_25,card_26,card_27,card_28,card_29,wins,hero
Face Hunter,3480,0.563,3300,5.4,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Kobold Sandtrooper,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,,1857.8999999999999,Hunter
Galakrond Warrior,7920,0.563,1600,6.9,Inner Rage,Risky Skipper,Town Crier,Battle Rage,Ritual Chopper,Temple Berserker,Acolyte of Pain,Awaken!,Bloodsworn Mercenary,Bomb Wrangler,Devoted Maniac,Kor'kron Elite,Scion of Ruin,Leeroy Jenkins,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,,,900.8,Warrior
Embiggen Druid,8180,0.563,1000,7.0,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,Witching Hour,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,"Ysera, Unleashed",,,,,,,,,,,,,563.0,Druid
Embiggen Druid,8240,0.563,2800,6.6,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,1576.3999999999999,Druid
Embiggen Druid,8180,0.563,8900,6.7,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Dragonmaw Poacher,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,5010.7,Druid
Mech Paladin,5680,0.563,40000,6.3,Crystology,Glow-Tron,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Explodinator,Replicating Menace,Faceless Corruptor,Wargear,Zilliax,Gyrocopter,,,,,,,,,,,,,,,22519.999999999996,Paladin
Galakrond Zoo Warlock,5800,0.563,1000,7.2,Blazing Battlemage,Flame Imp,Grim Rally,Mecharoo,Voidwalker,EVIL Genius,Knife Juggler,Scarab Egg,Dragonblight Cultist,Devoted Maniac,Fiendish Rites,Veiled Worshipper,Faceless Corruptor,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Wretched",Sea Giant,,,,,,,,,,,,,,563.0,Warlock
Embiggen Druid,8120,0.563,3300,6.7,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,"Ysera, Unleashed",,,,,,,,,,,,,,1857.8999999999999,Druid
Galakrond Warlock,15560,0.562,29000,9.5,Sacrificial Pact,Mortal Coil,Plague of Flames,Nether Breath,Zephrys the Great,Bad Luck Albatross,Dark Skies,Dragonblight Cultist,SN1P-SN4P,Devoted Maniac,Veiled Worshipper,Crazed Netherwing,Shield of Galakrond,Zilliax,Kronx Dragonhoof,"Galakrond, the Wretched",Lord Godfrey,Alexstrasza,Dragonqueen Alexstrasza,,,,,,,,,,,,16298.000000000002,Warlock
Quest Resurrect Priest,12060,0.562,1700,9.7,Forbidden Words,Activate the Obelisk,Penance,Bad Luck Albatross,Breath of the Infinite,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,955.4000000000001,Priest
Mech Paladin,7180,0.562,1300,6.2,Crystology,Glow-Tron,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Explodinator,Replicating Menace,Faceless Corruptor,Leeroy Jenkins,Wargear,Zilliax,Gyrocopter,,,,,,,,,,,,,,730.6,Paladin
Quest Resurrect Priest,11600,0.562,12000,10.3,Forbidden Words,Activate the Obelisk,Penance,Seance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,6744.000000000001,Priest
Quest Resurrect Priest,11240,0.562,6300,10.2,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Catrina Muerte,Mosh'Ogg Enforcer,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,3540.6000000000004,Priest
Embiggen Druid,6620,0.562,1600,6.9,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,Witching Hour,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,"Ysera, Unleashed",,,,,,,,,,,,,,899.2,Druid
Embiggen Druid,8180,0.562,7100,6.9,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Evasive Drakonid,Winged Guardian,,,,,,,,,,,,,3990.2000000000003,Druid
Quest Resurrect Priest,11560,0.562,1600,10.2,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,899.2,Priest
Highlander Hunter,15900,0.562,1600,6.3,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Escaped Manasaber,Evasive Feywing,Frenzied Felwing,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,899.2,Hunter
Galakrond Warlock,15600,0.562,1300,9.4,Sacrificial Pact,Mortal Coil,Plague of Flames,Nether Breath,Zephrys the Great,Bad Luck Albatross,Dark Skies,Dragonblight Cultist,SN1P-SN4P,Devoted Maniac,Fiendish Rites,Veiled Worshipper,Crazed Netherwing,Shield of Galakrond,Zilliax,Kronx Dragonhoof,"Galakrond, the Wretched",Lord Godfrey,Alexstrasza,Dragonqueen Alexstrasza,,,,,,,,,,,730.6,Warlock
Galakrond Rogue,15320,0.562,3000,8.6,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,,,,,,,,,,,1686.0000000000002,Rogue
Galakrond Rogue,13760,0.562,1800,8.7,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Dragonmaw Poacher,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,1011.6000000000001,Rogue
Galakrond Rogue,12260,0.562,7900,8.5,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,4439.8,Rogue
Quest Resurrect Priest,10360,0.562,1800,10.0,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,,1011.6000000000001,Priest
Galakrond Warlock,14000,0.562,1600,9.7,Sacrificial Pact,Mortal Coil,Plague of Flames,Nether Breath,Bad Luck Albatross,Dark Skies,Dragonblight Cultist,SN1P-SN4P,Devoted Maniac,Fiendish Rites,Veiled Worshipper,Crazed Netherwing,Shield of Galakrond,Zilliax,Kronx Dragonhoof,"Galakrond, the Wretched",Lord Godfrey,Alexstrasza,Dragonqueen Alexstrasza,,,,,,,,,,,,899.2,Warlock
Galakrond Rogue,12260,0.562,1100,8.9,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,Devoted Maniac,Dragonmaw Poacher,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,618.2,Rogue
Quest Resurrect Priest,11540,0.562,1100,10.3,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Grave Rune,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mosh'Ogg Enforcer,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,618.2,Priest
Quest Resurrect Priest,11860,0.562,1200,10.3,Forbidden Words,Activate the Obelisk,Penance,Shadow Word: Pain,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,674.4000000000001,Priest
Galakrond Rogue,20260,0.562,4600,9.0,Backstab,Shadowstep,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Bad Luck Albatross,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Bone Wraith,Devoted Maniac,Dragonmaw Poacher,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,The Black Knight,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,2585.2000000000003,Rogue
Secret Highlander Hunter,15040,0.561,2800,7.8,Dwarven Sharpshooter,Secretkeeper,Springpaw,Explosive Trap,Freezing Trap,Phase Stalker,Rat Trap,Snake Trap,Snipe,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Eaglehorn Bow,Kill Command,Primordial Explorer,SN1P-SN4P,Unleash the Hounds,Ursatron,Dragonmaw Poacher,Hyena Alpha,Marked Shot,Sandbinder,Subject 9,Zilliax,Unleash the Beast,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,Zul'jin,1570.8000000000002,Hunter
Embiggen Druid,8200,0.561,7000,6.8,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Evasive Drakonid,,,,,,,,,,,,,,3927.0000000000005,Druid
Galakrond Rogue,20100,0.561,2200,9.1,Backstab,Shadowstep,Bloodsail Flybooter,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Acidic Swamp Ooze,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Hench-Clan Burglar,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Tess Greymane,Dragonqueen Alexstrasza,1234.2,Rogue
Galakrond Rogue,20200,0.561,1400,9.1,Backstab,Shadowstep,Bloodsail Flybooter,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Bad Luck Albatross,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Hench-Clan Burglar,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Tess Greymane,Dragonqueen Alexstrasza,785.4000000000001,Rogue
Face Hunter,1940,0.561,7800,5.2,Arcane Shot,Leper Gnome,Rapid Fire,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Kobold Sandtrooper,Misdirection,Phase Stalker,Eaglehorn Bow,Kill Command,Unleash the Hounds,Wolfrider,Lifedrinker,,,,,,,,,,,,,,,4375.8,Hunter
Token Druid,4840,0.561,1000,6.2,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,561.0,Druid
Mech Paladin,6880,0.561,1000,6.4,Crystology,Glow-Tron,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Explodinator,Replicating Menace,Faceless Corruptor,Leeroy Jenkins,Wargear,Zilliax,Gyrocopter,,,,,,,,,,,,,,561.0,Paladin
Galakrond Rogue,13920,0.561,1000,8.7,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,561.0,Rogue
Embiggen Druid,6560,0.561,3100,6.8,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Evasive Drakonid,Winged Guardian,,,,,,,,,,,,,,1739.1000000000001,Druid
Galakrond Zoo Warlock,6100,0.561,9500,6.6,Beaming Sidekick,Blazing Battlemage,Flame Imp,Grim Rally,Mecharoo,Voidwalker,EVIL Genius,Knife Juggler,Scarab Egg,Dragonblight Cultist,Devoted Maniac,Fiendish Rites,Veiled Worshipper,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,"Galakrond, the Wretched",Sea Giant,,,,,,,,,,,,,5329.500000000001,Warlock
Galakrond Rogue,12320,0.561,1100,8.2,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,Devoted Maniac,Lifedrinker,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,617.1,Rogue
Face Hunter,3600,0.56,4300,5.4,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Kobold Sandtrooper,Misdirection,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,,2408.0000000000005,Hunter
Face Hunter,5000,0.56,1000,5.2,Arcane Shot,Blazing Battlemage,Dwarven Sharpshooter,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Kobold Sandtrooper,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Dragonbane,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,,560.0,Hunter
Face Hunter,2040,0.56,12000,6.1,Arcane Shot,Dwarven Sharpshooter,Rapid Fire,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Misdirection,Phase Stalker,Spellzerker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,,,,,,,,,,,,,,,6720.000000000001,Hunter
Highlander Hunter,16720,0.56,1500,6.8,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,840.0000000000001,Hunter
Galakrond Rogue,10760,0.56,24000,8.7,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,,13440.000000000002,Rogue
Embiggen Druid,6620,0.56,1200,7.1,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Swipe,Big Ol' Whelp,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,"Ysera, Unleashed",,,,,,,,,,,,,,672.0000000000001,Druid
Embiggen Druid,6920,0.56,2000,6.9,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Nightmare Amalgam,Scalerider,SN1P-SN4P,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,1120.0,Druid
Quest Druid,10560,0.56,1000,9.7,Innervate,Untapped Potential,Worthy Expedition,Crystal Merchant,Power of the Wild,Rising Winds,Wrath,Zephrys the Great,Ferocious Howl,Wardruid Loti,Flobbidinous Floop,Swipe,Anubisath Defender,Oasis Surger,Starfall,Hidden Oasis,Nourish,"Ysera, Unleashed",,,,,,,,,,,,,560.0,Druid
Highlander Hunter,16760,0.56,4600,7.0,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Bad Luck Albatross,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Bone Wraith,Dragonbane,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,2576.0000000000005,Hunter
Highlander Galakrond Rogue,17200,0.56,7400,9.6,Backstab,Shadowstep,Bloodsail Flybooter,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Bone Wraith,Devoted Maniac,Spirit of the Shark,Vendetta,Faceless Corruptor,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Khartut Defender,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,4144.0,Rogue
Galakrond Rogue,12160,0.5589999999999999,1900,8.7,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Skyvateer,Edwin VanCleef,EVIL Miscreant,Seal Fate,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,1062.1,Rogue
Embiggen Druid,6520,0.5589999999999999,1900,6.9,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Reckless Rocketeer,Winged Guardian,,,,,,,,,,,,,,1062.1,Druid
Galakrond Rogue,13820,0.5589999999999999,2100,8.7,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,1173.8999999999999,Rogue
Galakrond Zoo Warlock,6160,0.5589999999999999,1400,6.6,Beaming Sidekick,Blazing Battlemage,Flame Imp,Grim Rally,Voidwalker,EVIL Genius,Knife Juggler,Scarab Egg,Dragonblight Cultist,Fiendish Rites,Veiled Worshipper,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,"Galakrond, the Wretched",Sea Giant,,,,,,,,,,,,,,,782.5999999999999,Warlock
Embiggen Druid,6700,0.5589999999999999,1700,7.0,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Amani War Bear,,,,,,,,,,,,,,950.3,Druid
Quest Resurrect Priest,11600,0.5589999999999999,2800,10.3,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Grave Rune,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,1565.1999999999998,Priest
Embiggen Druid,10360,0.5589999999999999,33000,6.9,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,SN1P-SN4P,Witching Hour,Archmage Vargoth,Evasive Feywing,Frizz Kindleroost,Big Ol' Whelp,Oasis Surger,Witchwood Grizzly,Zilliax,Emerald Explorer,Evasive Wyrm,Stampeding Roar,Winged Guardian,Oondasta,,,,,,,,,,,,,18446.999999999996,Druid
Murloc Paladin,9420,0.5589999999999999,1900,6.0,Grimscale Oracle,Murloc Tidecaller,Murmy,Toxfin,Bluegill Warrior,Fishflinger,Tasty Flyfish,Zephrys the Great,Coldlight Seer,Murloc Warleader,Nightmare Amalgam,Nozdormu the Timeless,Prismatic Lens,Scalelord,Skyfin,Tip the Scales,Dragonqueen Alexstrasza,,,,,,,,,,,,,,1062.1,Paladin
Galakrond Rogue,11560,0.5589999999999999,13000,8.7,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Edwin VanCleef,EVIL Miscreant,Questing Adventurer,Seal Fate,SI:7 Agent,Devoted Maniac,Umbral Skulker,Leeroy Jenkins,Shield of Galakrond,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,,7266.999999999999,Rogue
Galakrond Rogue,10760,0.5589999999999999,5000,8.6,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,Devoted Maniac,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,,2794.9999999999995,Rogue
Embiggen Druid,6620,0.5589999999999999,7400,6.4,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,4136.599999999999,Druid
Galakrond Zoo Warlock,4600,0.5579999999999999,2200,7.0,Beaming Sidekick,Blazing Battlemage,Flame Imp,Grim Rally,Voidwalker,EVIL Genius,Knife Juggler,Scarab Egg,Dragonblight Cultist,Devoted Maniac,Fiendish Rites,Veiled Worshipper,Faceless Corruptor,Shield of Galakrond,"Galakrond, the Wretched",Sea Giant,,,,,,,,,,,,,,,1227.6,Warlock
Pirate Warrior,7580,0.5579999999999999,10000,6.5,Sky Raider,Southsea Deckhand,Town Crier,Upgrade!,Bloodsail Raider,Parachute Brigand,Ancharrr,Livewire Lance,Skybarge,Dread Corsair,Hoard Pillager,Kor'kron Elite,Restless Mummy,Arcanite Reaper,Captain Greenskin,Faceless Corruptor,Leeroy Jenkins,,,,,,,,,,,,,,5579.999999999999,Warrior
Galakrond Rogue,13960,0.5579999999999999,3000,8.9,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Dragonmaw Poacher,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,1673.9999999999998,Rogue
Galakrond Rogue,18760,0.5579999999999999,2700,8.5,Backstab,Shadowstep,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Bad Luck Albatross,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Devoted Maniac,Dragonmaw Poacher,Hench-Clan Burglar,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,1506.6,Rogue
